nom,prix,adresse,image_lien
Croquettes pour chiens,28 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5537867_uploaded_image1_1758544788.jpg
Chiot Bichon nain,200 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5530652_uploaded_image1_1758128841.jpg
Husky pur sang femelle,250 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528570_uploaded_image1_1758035685.jpg
Chiot pitbull,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5528346_uploaded_image1_1758029532.jpg
Chiot Boerboel,375 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524708_uploaded_image1_1757840142.jpg
Chiot  Husky,350 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524610_uploaded_image1_1757831632.jpg
Chiot Rottweiler,250 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5524392_uploaded_image1_1757805590.jpg
Chiot Bichon,200 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5521237_uploaded_image1_1757636811.jpg
Chiot,100 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5516813_uploaded_image1_1757429045.jpg
Chiot Pitbull,150 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5512296_uploaded_image1_1757182867.jpg
Chiot Berger allemand,350 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507784_uploaded_image1_1756958536.jpg
Chiot Malinois,250 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5506845_uploaded_image1_1756907976.jpg
Chiots Bichons Havanais,130 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5498808_uploaded_image1_1756485463.jpg
Chiots Berger Allemand,200 000 CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5492262_uploaded_image1_1756135491.jpg
Chiots Berger Allemand,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5491012_uploaded_image1_1756047419.jpg
Chiot Berger allemand grand gabarit,350 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5490358_uploaded_image1_1755989245.jpg
Chiots Labradors,300 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489586_uploaded_image1_1755947226.jpg
Chien  bichons,450 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489184_uploaded_image1_1755926050.jpg
Chiots Berger Allemand,350 000 CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5487110_uploaded_image1_1755815195.jpg
Bichon noir,130 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5482763_uploaded_image1_1755623884.jpg
bichons mâle,150 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5431028_uploaded_image1_1752941357.jpg
Chiots Berger Allemand,150 000 CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5466408_uploaded_image1_1754682101.jpg
Chat siamois,100 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465444_uploaded_image1_1754649176.jpg
Chiot Hamster syrien,5 000 CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465432_uploaded_image1_1754648750.jpg
Chiots Berger,150 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463591_uploaded_image1_1754561119.jpg
Chiots Berger allemend,150 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463567_uploaded_image1_1754560541.jpg
Chiots malinois de parents importés de bordeaux france,250 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5455656_uploaded_image1_1754152274.jpg
Chiot Berger Allemand,120 000 CFA,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_5443216_uploaded_image1_1753548558.jpg
Chiot Berger allemand,150 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5439144_uploaded_image1_1753362359.jpg
Chiot Bichon maltes,180 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5435956_uploaded_image1_1753216215.jpg
Chiots Berger allemand,180 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5429666_uploaded_image1_1752845223.jpg
Chiot Berger Allemand,150 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5387119_uploaded_image2_1750623407.jpeg
Bichon maltaise,150 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386842_uploaded_image1_1750611237.jpg
Chien Boerboell,650 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386827_uploaded_image1_1750610656.jpg
Chiots Cane Corso,400 000 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5400421_uploaded_image1_1751373309.jpg
Chiot Husky,300 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5397542_uploaded_image1_1751222051.jpg
